id_persona,id_hogar,departamento,area,sexo,edad,ocupado,ingreso,factor_expansion
506,215,Santander,Urbana,H,30,1,1228000.0,334.99
538,352,Bogota,Urbana,M,47,1,1646000.0,409.51
618,246,Bogota,Urbana,H,23,1,,422.66
305,339,Valle,Urbana,H,61,1,825000.0,121.11
98,340,Antioquia,Rural,M,18,1,1998000.0,222.81
620,156,Valle,Rural,H,68,0,,323.64
350,180,Valle,Urbana,H,83,1,13210000.0,456.24
1151,149,Valle,Urbana,H,38,0,,420.46
668,56,Antioquia,Urbana,H,26,0,,337.25
690,155,Bogota,Rural,M,10,,,175.57
563,87,Antioquia,Rural,M,52,1,1811000.0,333.07
353,76,Antioquia,Urbana,M,52,1,3450000.0,217.11
499,291,Narino,Urbana,M,49,1,737000.0,422.54
617,79,Valle,Urbana,M,66,1,995000.0,247.87
58,15,Bogota,Rural,M,85,1,2529000.0,382.51
875,11,Bogota,Urbana,M,79,0,,460.1
564,186,Antioquia,Urbana,M,66,0,,304.87
239,78,Antioquia,Urbana,H,63,1,1123000.0,288.83
674,176,Antioquia,Urbana,M,29,1,1637000.0,264.18
1166,328,Narino,Urbana,H,8,,,313.75
553,210,Bogota,Urbana,H,78,1,1189000.0,304.42
181,167,Santander,Urbana,H,80,1,2672000.0,397.11
874,191,Narino,Urbana,H,80,1,2804000.0,425.03
961,107,Narino,Rural,H,10,,,261.22
1076,43,Santander,Urbana,H,12,,,335.31
838,286,Antioquia,Urbana,M,63,0,,479.39
20,325,Narino,Rural,M,47,1,1789000.0,455.71
638,151,Bogota,Urbana,M,21,1,4106000.0,418.08
1200,335,Bogota,Urbana,H,77,1,,438.83
778,55,Antioquia,Urbana,M,79,1,597000.0,299.76
655,111,Bogota,Rural,M,4,,,425.74
478,138,Valle,Urbana,M,74,0,,165.43
441,136,Bogota,Urbana,M,47,1,,348.81
233,376,Bogota,Urbana,H,85,1,1457000.0,301.99
717,177,Bogota,Rural,M,69,0,,225.02
202,177,Narino,Urbana,H,67,0,,234.99
897,114,Bogota,Urbana,H,18,1,1074000.0,387.37
199,223,Bogota,Urbana,H,87,0,,462.91
1023,73,Santander,Urbana,H,21,0,,206.56
1149,186,Bogota,Rural,H,64,1,1851000.0,403.2
124,21,Bogota,Urbana,M,59,1,383000.0,322.18
1143,46,Valle,Urbana,M,78,0,,474.97
1028,216,Bogota,Rural,H,27,0,,211.2
783,153,Bogota,Urbana,H,2,,,273.54
428,305,Valle,Urbana,M,9,,,229.15
390,374,Bogota,Urbana,H,46,0,,166.35
515,220,Bogota,Rural,M,0,,,219.97
1171,223,Bogota,Urbana,H,24,0,,321.07
878,169,Antioquia,Urbana,H,76,1,14050000.0,418.88
148,193,Santander,Urbana,M,11,,,160.69
926,243,Narino,Rural,H,20,1,2977000.0,321.18
1163,284,Bogota,Urbana,M,89,0,,248.25
941,142,Antioquia,Urbana,H,28,0,,351.83
538,352,Bogota,Urbana,M,47,1,1646000.0,409.51
386,371,Narino,Rural,M,9,,,215.62
1186,214,Antioquia,Urbana,H,28,1,1293000.0,223.58
935,166,Bogota,Urbana,M,24,0,,206.42
371,151,Valle,Urbana,M,69,1,2767000.0,217.73
108,99,Bogota,Urbana,M,31,1,4145000.0,350.31
489,103,Antioquia,Urbana,H,42,1,3982000.0,331.61
847,185,Antioquia,Urbana,H,50,1,1375000.0,442.04
1114,363,Bogota,Urbana,H,29,0,,358.7
611,389,Antioquia,Urbana,H,8,,,242.4
469,302,Valle,Urbana,M,5,,,126.56
151,298,Santander,Urbana,M,81,1,870000.0,243.36
1085,328,Valle,Urbana,M,28,1,1601000.0,226.17
761,21,Valle,Urbana,H,78,1,1818000.0,445.51
165,353,Valle,Urbana,M,5,,,297.83
587,54,Valle,Urbana,H,12,,,352.82
